geografie,geslacht,migratieachtergrond,huishouden,bins,uitkomst,N,mean,parents_income,opleiding_ouders,type,uitkomst_NL,subgroep,sample,sd
Groningen,Totaal,Totaal,Tweeoudergezin,30% - 40%,c30_age_left_parents,564,23.25177305,62.44339181,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,40% - 50%,c30_age_left_parents,564,22.9858156,72.40401992,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,50% - 60%,c30_age_left_parents,562,22.98398577,82.06874418,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,60% - 70%,c30_age_left_parents,562,22.23309609,94.40314548,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,70% - 80%,c30_age_left_parents,562,22.05338078,110.6665345,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,80% - 90%,c30_age_left_parents,562,21.65480427,135.2402486,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Totaal,Tweeoudergezin,90% - 100%,c30_age_left_parents,562,20.79359431,220.2339246,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,0% - 10%,c30_age_left_parents,544,21.89522059,20.89014093,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,10% - 20%,c30_age_left_parents,544,22.58088235,38.11183467,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,20% - 30%,c30_age_left_parents,544,22.99264706,50.66911341,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,30% - 40%,c30_age_left_parents,543,23.17898036,60.61675082,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,40% - 50%,c30_age_left_parents,542,22.56088561,70.56059512,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,50% - 60%,c30_age_left_parents,542,22.81918819,80.67606251,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,60% - 70%,c30_age_left_parents,542,22.28782288,92.96942928,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,70% - 80%,c30_age_left_parents,542,22.02214022,109.2263336,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,80% - 90%,c30_age_left_parents,542,21.77306273,133.5435561,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Totaal,90% - 100%,c30_age_left_parents,542,20.86346863,211.2326051,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,0% - 10%,c30_age_left_parents,102,20.95098039,14.46864297,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,10% - 20%,c30_age_left_parents,102,21.62745098,24.17551873,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,20% - 30%,c30_age_left_parents,102,21.45098039,34.84635325,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,30% - 40%,c30_age_left_parents,102,22.23529412,45.23305689,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,40% - 50%,c30_age_left_parents,102,21.91176471,54.98410299,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,50% - 60%,c30_age_left_parents,100,22.03,65.53448053,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,60% - 70%,c30_age_left_parents,100,21.72,78.02562423,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,70% - 80%,c30_age_left_parents,100,21.89,95.22390639,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,80% - 90%,c30_age_left_parents,100,22.39,120.8280484,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Eenoudergezin,90% - 100%,c30_age_left_parents,100,20.92,188.1683967,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,0% - 10%,c30_age_left_parents,436,22.69724771,25.0002093,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,10% - 20%,c30_age_left_parents,436,23.34633028,43.27136427,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,20% - 30%,c30_age_left_parents,436,23.35779817,54.82902952,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,30% - 40%,c30_age_left_parents,436,23.14908257,64.55619632,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,40% - 50%,c30_age_left_parents,436,23.08486239,74.04956864,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,50% - 60%,c30_age_left_parents,436,22.81192661,83.9568785,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,60% - 70%,c30_age_left_parents,436,22.32110092,96.17249644,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,70% - 80%,c30_age_left_parents,436,22.07798165,112.1851008,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,80% - 90%,c30_age_left_parents,436,21.63302752,136.626882,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Zonder migratieachtergrond,Tweeoudergezin,90% - 100%,c30_age_left_parents,434,20.83640553,217.0998309,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,0% - 10%,c30_age_left_parents,150,22.28666667,15.73687034,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,10% - 20%,c30_age_left_parents,150,22.38,27.69856535,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,20% - 30%,c30_age_left_parents,150,22.42,39.33668584,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,30% - 40%,c30_age_left_parents,150,22.92,50.65534815,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,40% - 50%,c30_age_left_parents,150,23.00666667,61.8963197,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,50% - 60%,c30_age_left_parents,150,22.15333333,72.65848474,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,60% - 70%,c30_age_left_parents,150,22.67333333,85.77308858,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,70% - 80%,c30_age_left_parents,150,21.76666667,103.682973,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,80% - 90%,c30_age_left_parents,148,21.31081081,128.3990245,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Totaal,90% - 100%,c30_age_left_parents,148,20.64189189,220.9302594,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,0% - 10%,c30_age_left_parents,105,22.56240929,18.52549531,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,10% - 20%,c30_age_left_parents,104,23.09615385,32.49833541,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,20% - 30%,c30_age_left_parents,104,22.95192308,46.04853688,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,30% - 40%,c30_age_left_parents,104,23.25961538,57.79779723,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,40% - 50%,c30_age_left_parents,104,22.56730769,68.79047861,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,50% - 60%,c30_age_left_parents,104,22.88461538,78.93517742,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,60% - 70%,c30_age_left_parents,104,22.58653846,92.39285209,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,70% - 80%,c30_age_left_parents,104,21.58653846,110.176336,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,80% - 90%,c30_age_left_parents,104,21.57692308,137.2579652,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Overig,Tweeoudergezin,90% - 100%,c30_age_left_parents,104,20.64423077,240.9063458,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,0% - 10%,c30_age_left_parents,200,21.965,15.34124472,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,10% - 20%,c30_age_left_parents,200,21.855,25.31659412,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,20% - 30%,c30_age_left_parents,200,22.195,35.34268648,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,30% - 40%,c30_age_left_parents,200,22.375,45.78027443,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,40% - 50%,c30_age_left_parents,200,22.75,56.7187296,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,50% - 60%,c30_age_left_parents,200,22.555,66.91040504,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,60% - 70%,c30_age_left_parents,199,22.55777778,77.94997937,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,70% - 80%,c30_age_left_parents,198,22.52525253,94.28514504,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,80% - 90%,c30_age_left_parents,198,21.56060606,118.329819,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Totaal,90% - 100%,c30_age_left_parents,198,20.58080808,205.5255266,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,0% - 10%,c30_age_left_parents,71,21.42253521,13.26859724,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,10% - 20%,c30_age_left_parents,71,21.67605634,20.15920184,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,20% - 30%,c30_age_left_parents,71,22.66197183,28.08612265,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,30% - 40%,c30_age_left_parents,71,21.28169014,36.14697011,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,40% - 50%,c30_age_left_parents,70,22.25714286,43.18409145,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,50% - 60%,c30_age_left_parents,70,22.27142857,51.50702241,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,60% - 70%,c30_age_left_parents,70,21.94285714,62.34152757,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,70% - 80%,c30_age_left_parents,70,22.27142857,72.30390865,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,80% - 90%,c30_age_left_parents,70,22.51428571,95.3442816,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Eenoudergezin,90% - 100%,c30_age_left_parents,70,20.42857143,147.9759558,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,0% - 10%,c30_age_left_parents,128,22.2265625,18.04999895,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,10% - 20%,c30_age_left_parents,128,22.5859375,29.51627504,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,20% - 30%,c30_age_left_parents,128,22.640625,43.06115987,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,30% - 40%,c30_age_left_parents,128,22.875,55.3078017,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,40% - 50%,c30_age_left_parents,128,23.4296875,65.34113962,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,50% - 60%,c30_age_left_parents,128,22.3671875,76.11298185,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,60% - 70%,c30_age_left_parents,126,22.85714286,87.70755533,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,70% - 80%,c30_age_left_parents,126,21.93650794,104.8193118,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,80% - 90%,c30_age_left_parents,126,21.53968254,130.2000218,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Totaal,Wel migratieachtergrond,Tweeoudergezin,90% - 100%,c30_age_left_parents,126,20.61111111,232.0109476,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,0% - 10%,c30_age_left_parents,386,22.60621762,19.0200249,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,10% - 20%,c30_age_left_parents,385,23.34271103,34.57551392,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,20% - 30%,c30_age_left_parents,384,23.84635417,47.03310895,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,30% - 40%,c30_age_left_parents,384,23.96354167,57.40026653,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,40% - 50%,c30_age_left_parents,384,23.86197917,67.62654599,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,50% - 60%,c30_age_left_parents,384,23.6328125,78.0044647,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,60% - 70%,c30_age_left_parents,384,23.16145833,90.05004647,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,70% - 80%,c30_age_left_parents,384,22.70833333,106.4030144,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,80% - 90%,c30_age_left_parents,384,22.44010417,129.969233,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Totaal,90% - 100%,c30_age_left_parents,384,21.1328125,205.2406734,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,0% - 10%,c30_age_left_parents,89,21.87640449,13.84346164,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,10% - 20%,c30_age_left_parents,88,22.52272727,21.70412755,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,20% - 30%,c30_age_left_parents,88,22.625,30.96972265,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,30% - 40%,c30_age_left_parents,88,22.77272727,38.75751409,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,40% - 50%,c30_age_left_parents,88,23,48.02974209,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,50% - 60%,c30_age_left_parents,88,23.59090909,58.92980733,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,60% - 70%,c30_age_left_parents,88,23,70.50436294,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,70% - 80%,c30_age_left_parents,88,22.69318182,87.52013838,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,80% - 90%,c30_age_left_parents,88,22.53409091,108.1899839,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Eenoudergezin,90% - 100%,c30_age_left_parents,88,21.18181818,172.8009623,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,0% - 10%,c30_age_left_parents,294,23.65646259,24.01571935,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,10% - 20%,c30_age_left_parents,294,23.95918367,41.83217574,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,20% - 30%,c30_age_left_parents,293,24.22733203,53.78065293,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,30% - 40%,c30_age_left_parents,292,24.41780822,62.93352848,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,40% - 50%,c30_age_left_parents,292,23.84589041,73.53407935,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,50% - 60%,c30_age_left_parents,292,23.7260274,82.92757189,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,60% - 70%,c30_age_left_parents,292,23.1369863,95.07747572,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,70% - 80%,c30_age_left_parents,292,22.84246575,111.9393677,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,80% - 90%,c30_age_left_parents,292,22.32191781,135.3035248,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Totaal,Tweeoudergezin,90% - 100%,c30_age_left_parents,292,21.04794521,214.1587633,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Zonder migratieachtergrond,Totaal,0% - 10%,c30_age_left_parents,282,23.05319149,22.04917951,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Zonder migratieachtergrond,Totaal,10% - 20%,c30_age_left_parents,282,23.53191489,39.44698921,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Zonder migratieachtergrond,Totaal,20% - 30%,c30_age_left_parents,282,23.78014184,51.42017306,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
Groningen,Mannen,Zonder migratieachtergrond,Totaal,30% - 40%,c30_age_left_parents,282,24.37588652,60.81634375,Totaal,10,Leeftijd waarop ouderlijk huis is verlaten,NA,NA,NA
